titel,pdf,urn,sou-nr,full_titel
1922:52,https://weburn.kb.se/sou/190/urn-nbn-se-kb-digark-1892067.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1882224,1922:52,"Den svenska järnhanteringens utveckling med särskild hänsyn till åren 1890-1913 utredning",
1922:53,https://weburn.kb.se/sou/190/urn-nbn-se-kb-digark-1895133.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-417766,1922:53,"Den svenska glasindustriens utveckling med särskild hänsyn till dess ställning åren närmast före världskriget utredning",
1922:54,https://weburn.kb.se/sou/190/urn-nbn-se-kb-digark-1899522.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1483880,1922:54,"Förslag om upprättande av ett under Kungl. Arméförvaltningens sjukvårdsstyrelse lydande statsapotek",
1922:55,https://weburn.kb.se/sou/209/urn-nbn-se-kb-digark-2081860.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1483881,1922:55,"Bokföringen vid försvarsförvaltningen tillägg till Betänkande och förslag angående organisation av den centrala försvarsförvaltningen",
1922:56,https://weburn.kb.se/sou/192/urn-nbn-se-kb-digark-1915874.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1483882,1922:56,"K. Socialstyrelsens utlåtande med förslag till lag angående hyresregleringens avveckling m. m.",
1922:57,https://weburn.kb.se/sou/190/urn-nbn-se-kb-digark-1892051.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1483883,1922:57,"Utredning och förslag rörande förskaffande av lik för den för läkareutbildningen nödvändiga anatomiska undervisningen",
1922:58,https://weburn.kb.se/sou/191/urn-nbn-se-kb-digark-1900921.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1483884,1922:58,"Utlåtande över förslag till omorganisation av polisväsendet i riket",
1922:59,https://weburn.kb.se/sou/192/urn-nbn-se-kb-digark-1915102.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-2505591,1922:59,"Socialförsäkringskommittén. 3",
1923:1,https://weburn.kb.se/sou/197/urn-nbn-se-kb-digark-1960919.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1483885,1923:1,"Betänkande med förslag angående magistraternas befriande i visst avseende från ansvar för kronouppbörden m. m.",
1923:2,https://weburn.kb.se/sou/197/urn-nbn-se-kb-digark-1962030.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1189832,1923:2,"Förslag till lag om lösdrivares behandling m. fl. författningar",
