titel,pdf,urn,sou-nr,full_titel
1923:16,https://weburn.kb.se/sou/258/urn-nbn-se-kb-digark-2579264.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1590973,1923:16,"Försvarsrevisionens betänkande 3,betänkande och förslag rörande revision av Sveriges försvarsväsende.",
1923:17,https://weburn.kb.se/sou/282/urn-nbn-se-kb-digark-2811700.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1590974,1923:17,"Försvarsrevisionens betänkande 3,betänkande och förslag rörande revision av Sveriges försvarsväsende.",
1923:18,https://weburn.kb.se/sou/267/urn-nbn-se-kb-digark-2661846.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-8231692,1923:18,"Kommunalförfattningssakkunnigas betänkande. 4",
1923:19,https://weburn.kb.se/sou/198/urn-nbn-se-kb-digark-1977493.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1483893,1923:19,"Betänkande angående decisiv folkomröstning",
1923:20,https://weburn.kb.se/sou/198/urn-nbn-se-kb-digark-1977492.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1483894,1923:20,"Folkomröstningsinstitutet utanför Schweiz och Förenta Staterna.",
1923:21,https://weburn.kb.se/sou/266/urn-nbn-se-kb-digark-2657302.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1483895,1923:21,"Betänkande angående ordnandet av Stockholms förortsbanefråga",
1923:22,https://weburn.kb.se/sou/198/urn-nbn-se-kb-digark-1978461.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1755791,1923:22,"Betänkande och förslag i fråga om kvinnors tillträde till statstjänster. 3",
1923:23,https://weburn.kb.se/sou/196/urn-nbn-se-kb-digark-1958727.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1483896,1923:23,"Betänkande med förslag till lag om ändring i vissa delar av lagen den 25 maj 1894 angående jordfästning m. m.",
1923:24,https://weburn.kb.se/sou/199/urn-nbn-se-kb-digark-1987555.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1483897,1923:24,"Utredning angående lämpliga distributionssystem för landsbygdselektrifiering.",
1923:25,https://weburn.kb.se/sou/194/urn-nbn-se-kb-digark-1930218.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1483898,1923:25,"Inventering av odlingsjord längs inlandsbanan från Ströms södra sockengräns till Storuman",
1923:26,https://weburn.kb.se/sou/197/urn-nbn-se-kb-digark-1967768.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1533556,1923:26,"1921 års pensionskommittés betänkande. 2",
1923:27,https://weburn.kb.se/sou/198/urn-nbn-se-kb-digark-1977045.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1483899,1923:27,"Underdånigt betänkande med förslag till lönereglering för befattningshavare i domsagorna m. m.",
1923:28,https://weburn.kb.se/sou/198/urn-nbn-se-kb-digark-1977046.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1483900,1923:28,"Underdånigt betänkande med förslag till förordning angående tillverkning av brännvin m. m.",
1923:29,https://weburn.kb.se/sou/198/urn-nbn-se-kb-digark-1971007.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1483902,1923:29,"Den industriella demokratiens problem. 1",
1923:30,https://weburn.kb.se/sou/199/urn-nbn-se-kb-digark-1986199.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1483903,1923:30,"Den industriella demokratiens problem. 2",
1923:31,https://weburn.kb.se/sou/196/urn-nbn-se-kb-digark-1958357.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1322905,1923:31,"Den svenska mekaniska verkstadsindustriens utveckling intill krigsutbrottet utredning",
1923:32,https://weburn.kb.se/sou/196/urn-nbn-se-kb-digark-1958355.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-2136103,1923:32,"Sveriges bryggeriindustri utredning",
1923:33,https://weburn.kb.se/sou/199/urn-nbn-se-kb-digark-1987898.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-2136105,1923:33,"Garveriindustriens produktionsförhållanden utredning",
1923:34,https://weburn.kb.se/sou/196/urn-nbn-se-kb-digark-1958132.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-417768,1923:34,"Kvalitetsfrågan hos det svenska vetet utredning",
1923:35,https://weburn.kb.se/sou/193/urn-nbn-se-kb-digark-1927848.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1483904,1923:35,"Samorganisation av Riksdagsbiblioteket och den centrala statsförvaltningen i bok- och biblioteksavseende utredning med förslag",
1923:36,https://weburn.kb.se/sou/197/urn-nbn-se-kb-digark-1960875.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1483905,1923:36,"Betänkande och förslag rörande förvaring av förminskat tillräkneliga förbrytare jämte förslag rörande internering av farliga återfallsförbrytare",
1923:37,https://weburn.kb.se/sou/200/urn-nbn-se-kb-digark-1991078.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-417773,1923:37,"Översiktstabeller angående den svenska industriens utveckling 1891-1920 jämte anmärkningar",
1923:38,https://weburn.kb.se/sou/203/urn-nbn-se-kb-digark-2027852.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1483907,1923:38,"Efterskrift till Om röstsammanräkning vid kommunala val enligt lagarna den 9 juni 1922",
1923:39,https://weburn.kb.se/sou/201/urn-nbn-se-kb-digark-2009698.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1483908,1923:39,"Om röstsammanräkning vid kommunala val enligt lagarna den 9 juni 1922 P. M.",
1923:40,https://weburn.kb.se/sou/203/urn-nbn-se-kb-digark-2021967.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-2503709,1923:40,"Jordkommissionens betänkanden. D. 6",
1923:41,https://weburn.kb.se/sou/203/urn-nbn-se-kb-digark-2021919.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1559330,1923:41,"Skolkommissionens betänkande. 6",
1923:42,https://weburn.kb.se/sou/203/urn-nbn-se-kb-digark-2021913.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-2505972,1923:42,"Lagerhus- och kylhuskommitténs betänkanden. 2",
1923:43,https://weburn.kb.se/sou/198/urn-nbn-se-kb-digark-1978398.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1483909,1923:43,"Förslag till tullstadga jämte motivering",
1923:44,https://weburn.kb.se/sou/203/urn-nbn-se-kb-digark-2021916.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-2137870,1923:44,"De svenska järn- och metallmanufakturindustriernas utveckling med särskild hänsyn till förhållandena vid tiden närmast före världskrigets utbrott utredning",
1923:45,https://weburn.kb.se/sou/202/urn-nbn-se-kb-digark-2019139.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-417783,1923:45,"Undersökning angående jordegendomsvärdenas utveckling i Sverige och vissa främmande länder",
1923:46,https://weburn.kb.se/sou/199/urn-nbn-se-kb-digark-1984549.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1483910,1923:46,"Sammandrag av yttranden över Stadsplanelagskommitténs Betänkande med förslag till stadsplanelag och författningar som därmed hava samband samt Bostadskommissionens betänkande med förslag till byggnadsstadga.",
1923:47,https://weburn.kb.se/sou/203/urn-nbn-se-kb-digark-2021960.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-2504263,1923:47,"Kommunikationsverkens lönekommitté. 5",
1923:48,https://weburn.kb.se/sou/203/urn-nbn-se-kb-digark-2021966.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1483911,1923:48,"Anvisningar rörande vissa åtgärder för möjliggörande av ökad spannmålsbelåning från jordbrukarnas sida",
1923:49,https://weburn.kb.se/sou/222/urn-nbn-se-kb-digark-2219247.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-435384,1923:49,"Statens ställning till järnvägarna i Sverige med särskild hänsyn till inlösningsfrågan : redogörelse",
1923:50,https://weburn.kb.se/sou/206/urn-nbn-se-kb-digark-2058491.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1483912,1923:50,"Redegørelse fra det af de danske, norske og svenske Kraftoverføringskommissioner nedsatte elektrotekniske Udvalg angaaende elektrisk Kraftoverføring fra Norge til Danmark.",
1923:51,https://weburn.kb.se/sou/198/urn-nbn-se-kb-digark-1977049.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-8216816,1923:51,"Förslag angående lapparnas renskötsel m.m.",
1923:52,https://weburn.kb.se/sou/209/urn-nbn-se-kb-digark-2083930.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1483913,1923:52,"Förslag till stadga angående nomadundervisningen i riket samt till instruktion för nomadskolinspektören",
1923:53,https://weburn.kb.se/sou/199/urn-nbn-se-kb-digark-1987905.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1483914,1923:53,"Statens kolonisationsnämnds berättelse 1918-1922.",
1923:54,https://weburn.kb.se/sou/208/urn-nbn-se-kb-digark-2079093.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1483915,1923:54,"Betänkande angående regelbunden automobiltrafik samt angående maskinell vägtrafik i de nordliga länen",
1923:55,https://weburn.kb.se/sou/203/urn-nbn-se-kb-digark-2020455.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1483916,1923:55,"Betänkande och förslag angående statsbidrag till uppförande av byggnader för folkskoleväsendet i riket",
1923:56,https://weburn.kb.se/sou/203/urn-nbn-se-kb-digark-2021970.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-2507378,1923:56,"Sammanfattning av utlåtanden och yttranden i anledning av Skolkommissionens den 28 april 1922 avgivna betänkande. [Förra delen]",
1923:57,https://weburn.kb.se/sou/207/urn-nbn-se-kb-digark-2067566.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-8213415,1923:57,"Vid virkesmätning erforderliga relationstal betänkande",
1923:58,https://weburn.kb.se/sou/198/urn-nbn-se-kb-digark-1978401.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1483917,1923:58,"Förslag rörande tillgodogörande av kronans fiskevatten",
1923:59,https://weburn.kb.se/sou/197/urn-nbn-se-kb-digark-1964806.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1836505,1923:59,"Förberedande utkast till strafflag. Speciella delen.5",
1923:60,https://weburn.kb.se/sou/257/urn-nbn-se-kb-digark-2562198.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1483918,1923:60,"Utredning beträffande de allmänna förutsättningarna med avseende å krafttillgångar, kraftbehov och kraftöverföring för elektrifiering av Sveriges olika kraftdistrikt.",
1923:61,https://weburn.kb.se/sou/197/urn-nbn-se-kb-digark-1964008.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1483919,1923:61,"Utredning och förslag angående de enskilda järnvägarnas bokföring enligt av Kungl. Maj:t den 30 nov. 1922 givet uppdrag",
1923:62,https://weburn.kb.se/sou/196/urn-nbn-se-kb-digark-1958359.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1483920,1923:62,"Betänkande angående ordnandet av kvinnliga befattningshavares avlönings- och pensionsförhållanden m. m.",
1923:63,https://weburn.kb.se/sou/198/urn-nbn-se-kb-digark-1978391.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1483921,1923:63,"Handledning vid utarbetandet av brandordningar för städer, köpingar och municipalsamhällen.",
1923:64,https://weburn.kb.se/sou/192/urn-nbn-se-kb-digark-1917357.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-8220814,1923:64,"V.P.M. med utkast till lag om gruppbolag för enskilda järnvägar.",
1923:65,https://weburn.kb.se/sou/197/urn-nbn-se-kb-digark-1964814.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1483923,1923:65,"Förbättrade sjöfartsförbindelser mellan Sverige och Finland utredning angående de tekniska och ekonomiska möjligheterna och villkoren för en statlig ångfärjeförbindelse eller annan statsdriven eller statsgaranterad sjöfartsförbindelse",
1923:66,https://weburn.kb.se/sou/205/urn-nbn-se-kb-digark-2045257.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-2507379,1923:66,"Sammanfattning av utlåtanden och yttranden i anledning av Skolkommissionens den 28 april 1922 avgivna betänkande. Senare delen",
1923:67,https://weburn.kb.se/sou/267/urn-nbn-se-kb-digark-2669757.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1483924,1923:67,"Utredning beträffande planmässig elektrifiering av landsbygden inom Gävleborgs län.",
1923:68,https://weburn.kb.se/sou/192/urn-nbn-se-kb-digark-1917365.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1483925,1923:68,"Yttrande och förslag i fråga om revision av gällande avlöningsbestämmelser för statsdepartement m. fl. verk",
1923:69,https://weburn.kb.se/sou/199/urn-nbn-se-kb-digark-1988724.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-8229145,1923:69,"Betänkande om inkomst- och förmögenhetsskatt. D. 1",
1923:70,https://weburn.kb.se/sou/197/urn-nbn-se-kb-digark-1963998.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-2254977,1923:70,"Betänkande om inkomst- och förmögenhetsskatt. D. 2",
1923:71,https://weburn.kb.se/sou/190/urn-nbn-se-kb-digark-1892076.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1483926,1923:71,"Betänkande och förslag angående förvaltningen av kyrkofonden och övriga till prästerskapets avlöning anslagna medel",
1923:72,https://weburn.kb.se/sou/190/urn-nbn-se-kb-digark-1892077.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1483927,1923:72,"Kort redogörelse för Elektrifieringskommitténs verksamhet samt förslag till organisation av statens verksamhet beträffande landets elektrifiering.",
1923:73,https://weburn.kb.se/sou/191/urn-nbn-se-kb-digark-1905781.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1483928,1923:73,"Sammanknytning av de svenska och norska statsbanenäten över riksgränsen i norra Bohuslän betänkande och förslag",
1923:74,https://weburn.kb.se/sou/258/urn-nbn-se-kb-digark-2579263.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1483929,1923:74,"Betänkande med förslag till lag om vård av sinnessjuka m. fl. författningar",
1923:75,https://weburn.kb.se/sou/192/urn-nbn-se-kb-digark-1915875.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-8220815,1923:75,"Normalreglementen för rikets sparbanker i anslutning till lagen om sparbanker den 29 juni 1923",
1923:76,https://weburn.kb.se/sou/190/urn-nbn-se-kb-digark-1892066.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1483931,1923:76,"Förberedande utredning av vissa principer för reformering av hyresrätten.",
1923:77,https://weburn.kb.se/sou/191/urn-nbn-se-kb-digark-1901161.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1483932,1923:77,"Vägkonferensen i Stockholm den 15 och 16 oktober 1923 utredningar och anföranden vid det sammanträde, som jämlikt Kungl. Maj:ts bemyndigande hållits inför statsrådet och chefen för Kommunikationsdepartementet med representanter för landets länsstyrelser, Väg- och vattenbyggnadsstyrelsen m. fl.",
1923:78,https://weburn.kb.se/sou/190/urn-nbn-se-kb-digark-1892068.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1483933,1923:78,"1922 års krigslagstiftningssakkunnigas betänkande med förslag till lag om ändring i vissa delar av strafflagen för krigsmakten den 23 oktober 1914 m. m.",
1924:1,https://weburn.kb.se/sou/230/urn-nbn-se-kb-digark-2296799.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1483934,1924:1,"Angående ordnandet av statens kommersiella informationsverksamhet promemoria",
1924:2,https://weburn.kb.se/sou/215/urn-nbn-se-kb-digark-2143137.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1483861,1924:2,"Det svenska lantbrukets produktionskostnader. 2",
1924:3,https://weburn.kb.se/sou/199/urn-nbn-se-kb-digark-1984550.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1483935,1924:3,"Utredning beträffande planmässig elektrifiering av landsbygden inom Kopparbergs län.",
1924:4,https://weburn.kb.se/sou/205/urn-nbn-se-kb-digark-2045262.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-591738,1924:4,"Sverges familjenamn 1920 Suppl. nr 2 /förteckning.",
1924:5,https://weburn.kb.se/sou/197/urn-nbn-se-kb-digark-1964777.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-8214353,1924:5,"Betänkande med utredning och förslag angående det fria och frivilliga folkbildningsarbetet överarbetning av ett den 25 maj 1923 av Folkbildningssakkunniga avlämnat utlåtande",
1924:6,https://weburn.kb.se/sou/199/urn-nbn-se-kb-digark-1984172.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1483936,1924:6,"Utredning rörande ny vattenväg mellan Östersjön och Vänern, Göta kanal jämte bihang, innefattande preliminär utredning rörande vattenväg mellan Hjälmaren och Vänern, Svea kanal",
1924:7,https://weburn.kb.se/sou/198/urn-nbn-se-kb-digark-1978390.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-8220816,1924:7,"Betänkande och förslag angående läroverks- och landsbibliotek",
1924:8,https://weburn.kb.se/sou/219/urn-nbn-se-kb-digark-2189627.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1483938,1924:8,"Utredning beträffande planmässig elektrifiering av landsbygden inom Västmanlands län.",
1924:9,https://weburn.kb.se/sou/198/urn-nbn-se-kb-digark-1971618.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1483939,1924:9,"Utredning beträffande planmässig elektrifiering av landsbygden inom Värmlands län.",
1924:10,https://weburn.kb.se/sou/197/urn-nbn-se-kb-digark-1961914.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1483940,1924:10,"Utredning beträffande planmässig elektrifiering av landbygden inom Blekinge län.",
1924:11,https://weburn.kb.se/sou/197/urn-nbn-se-kb-digark-1961917.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1483941,1924:11,"Utredning beträffande planmässig elektrifiering av landsbygden inom Jämtlands län.",
1924:12,https://weburn.kb.se/sou/198/urn-nbn-se-kb-digark-1971620.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1483942,1924:12,"Utredning beträffande planmässig elektrifiering av landsbygden inom Gotlands län.",
1924:13,https://weburn.kb.se/sou/261/urn-nbn-se-kb-digark-2601384.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1483943,1924:13,"Förslag till lönereglering för befattningshavare vid rikets allmänna läroverk samt vid folk- och småskolor m. fl. läroanstalter.",
1924:14,https://weburn.kb.se/sou/257/urn-nbn-se-kb-digark-2569070.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1483944,1924:14,"Iakttagelser rörande socialiseringen i Österrike 1918-1922",
1924:15,https://weburn.kb.se/sou/266/urn-nbn-se-kb-digark-2651086.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1483945,1924:15,"Det svenska tobaksmonopolet en undersökning av dess verksamhet 1915-1922",
1924:16,https://weburn.kb.se/sou/276/urn-nbn-se-kb-digark-2759929.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-8220817,1924:16,"Betänkande med förslag till gruvlag",
1924:17,https://weburn.kb.se/sou/199/urn-nbn-se-kb-digark-1989178.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1483947,1924:17,"Utredning beträffande planmässig elektrifiering av landsbygden inom Västernorrlands län.",
1924:18,https://weburn.kb.se/sou/205/urn-nbn-se-kb-digark-2040735.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1483948,1924:18,"Utredning beträffande planmässig elektrifiering av landsbygden inom Hallands län.",
1924:19,https://weburn.kb.se/sou/204/urn-nbn-se-kb-digark-2039021.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1483949,1924:19,"Anvisningar rörande vägväsendet och automobiltrafiken",
1924:20,https://weburn.kb.se/sou/198/urn-nbn-se-kb-digark-1974676.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1699128,1924:20,"Skeppstjänstkommitterades betänkande. 3, Förslag till lag om särskild pensionsförsäkring av sjöfolk : jämte motiv och särskilda meningar samt bilagor",
1924:21,https://weburn.kb.se/sou/198/urn-nbn-se-kb-digark-1970386.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-2029495,1924:21,"Fastighetsregisterkommissionens meddelanden. 13",
1924:22,https://weburn.kb.se/sou/198/urn-nbn-se-kb-digark-1970398.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1483950,1924:22,"Statens järnvägar kortfattad översikt av deras tillkomst, ekonomi och organisation",
